full_date,weather,sleep,mood,myers
5/3/20,4,,5,ESTP
5/2/20,3,7,5,ESTP
5/1/20,4,7.833333333,4,ESTP
4/30/20,4,6.5,4,ESTP
4/29/20,4,7.166666667,5,ESTP
4/28/20,4,,4,ESTP
4/27/20,4,,5,ESTP
4/26/20,4,,5,ESTP
4/25/20,4,,5,ESTP
4/24/20,4,,5,ESTP
4/23/20,4,,5,ESTP
4/22/20,4,,5,ESTP
4/21/20,4,,5,ESTP
4/20/20,3,4.333333333,5,ESTP
4/19/20,4,6.5,5,ESTP
4/18/20,4,6,5,ESTP
4/17/20,4,9.5,3,ESTP
4/16/20,4,,4,ESTP
4/15/20,4,,4,ESTP
4/14/20,4,,5,ESTP
4/13/20,4,8.5,5,ESTP
4/12/20,4,5.333333333,5,ESTP
4/11/20,4,8.166666667,3,ESTP
4/10/20,4,5.833333333,4,ESTP
4/9/20,4,4.166666667,5,ESTP
4/8/20,3,6.166666667,3,ESTP
4/7/20,4,,4,ESTP
4/6/20,1,,3,ESTP
4/5/20,1,4.833333333,3,ENFP
4/4/20,1,6.833333333,4,ENFP
4/3/20,4,,4,ENFP
4/2/20,4,5.5,5,ENFP
3/31/20,4,4.333333333,4,ENFP
3/30/20,4,5.533333333,5,ENFP
3/29/20,4,5,5,INFP
3/28/20,4,10.33333333,4,INFP
3/27/20,1,7,3,INFP
3/26/20,4,5,4,INFP
3/25/20,1,6.833333333,3,INFP
3/24/20,1,5.666666667,3,INFP
3/23/20,4,5.833333333,5,INFP
3/22/20,1,,3,ISFP
3/21/20,4,,5,ISFP
3/20/20,4,8.333333333,5,ISFP
3/19/20,4,,4,ISFP
3/18/20,1,,3,ISFP
3/17/20,1,,3,ISFP
3/16/20,4,,2,ISFP
3/15/20,4,,4,ENFP
3/14/20,4,,5,ENFP
3/13/20,4,6,5,ENFP
3/12/20,1,,3,ENFP
3/11/20,4,,5,ENFP
3/10/20,4,6.666666667,5,ENFP
3/9/20,4,,4,ENFP
3/8/20,4,5,4,ENFP
3/6/20,2,5.5,3,ENFP
3/5/20,4,7.1,4,ENFP
3/4/20,2,,3,ENFP
3/3/20,4,6.166666667,4,ENFP
3/2/20,4,,5,ENFP
3/1/20,3,,2,ENFP
2/29/20,4,,5,ENFP
2/28/20,2,,5,ENFP
2/27/20,3,6.333333333,5,ENFP
2/26/20,3,,4,ENFP
2/25/20,4,6.333333333,3,ENFP
2/24/20,4,6,4,ENFP
2/23/20,4,6.666666667,5,ENFP
2/22/20,4,8,4,ENFP
2/21/20,4,6.5,5,ENFP
2/20/20,4,6.5,4,ENFP
2/19/20,4,,4,ENFP
2/18/20,4,6,4,ENFP
2/17/20,3,7,2,ENFP
2/16/20,3,6.666666667,3,ENFP
2/15/20,2,,3,INFP
2/14/20,3,5,2,INFP
2/13/20,1,5.133333333,3,INFP
2/12/20,3,5.866666667,3,INFP
2/11/20,2,5.4,4,INFP
2/10/20,4,5.283333333,5,INFP
,,,,
